model,roc_auc,pr_auc,threshold,precision,recall,f1,precision@100,recall@100,ndcg@100,precision@500,recall@500,ndcg@500,inference_ms
Logistic Regression,0.9311485063666344,0.1322268490100194,0.9598431299358416,0.2483043350044234,0.3925407925407925,0.3041907514450867,0.0,0.0,0.0,0.018,0.0041958041958041,0.01817881786731,1.786947250366211
LightGBM,0.9033039198057784,0.5457133903934721,0.4124727434136765,0.7021419009370816,0.489044289044289,0.57653201428964,1.0,0.0466200466200466,1.0000000000000004,0.95,0.2214452214452214,0.9587466715137536,155.87496757507324
LightGBM-velocity,0.9692270258088017,0.7325283454929712,0.8750687515432737,0.8098837209302325,0.6494172494172494,0.7208279430789133,1.0,0.046620046620046623,1.0000000000000004,0.988,0.23030303030303031,0.990027983001364,65.12308120727539
LightGBM-44,0.9950006713315684,0.8852763414418368,0.04969645274051545,0.852467024914509,0.8135198135198135,0.8325381679389313,1.0,0.046620046620046623,1.0000000000000004,1.0,0.2331002331002331,0.9999999999999996,94.32101249694824
