y_true,score
0,0.00095112633
0,0.009567529
0,0.0026192276
0,0.0013064427
0,0.000857233
0,0.0038633929
0,0.0013494401
0,0.00321552
0,0.0022197836
0,0.00071515166
0,0.0021777858
0,0.000899914
0,0.0006868843
0,0.0026986878
0,0.0011589018
0,0.0070707854
0,0.00074943004
0,0.0021637133
0,0.0022734022
0,0.0029246886
0,0.0027094318
0,0.0036475565
0,0.0009977035
0,0.0021781973
0,0.006108634
0,0.0011243471
0,0.0008946373
0,0.0012473406
0,0.002300883
0,0.020723805
0,0.014082019
0,0.029728115
0,0.003864933
0,0.006387289
0,0.0004152091
0,0.0008166299
0,0.005591023
0,0.0008676548
0,0.0025136156
0,0.0047410983
0,0.0043064794
0,0.00065177056
0,0.0047817826
0,0.0020918865
0,0.002135527
0,0.00088114257
0,0.0006989307
0,0.01468318
0,0.0042339913
0,0.0022476343
0,0.00079670263
0,0.0015145182
0,0.0011862941
0,0.0009733991
0,0.003408369
0,0.0011128056
0,0.0037081619
0,0.00066188694
0,0.002695725
0,0.0041813445
0,0.005419978
0,0.00057515444
0,0.0008570779
0,0.0016096415
0,0.013165177
0,0.002662091
0,0.0025655888
0,0.009001094
0,0.003182322
0,0.002737477
0,0.0021176604
0,0.01067939
0,0.004356341
0,0.005482061
0,0.0030250424
0,0.0029315155
0,0.00055867614
0,0.004502883
0,0.00044339465
0,0.0007776331
0,0.0028614495
0,0.0066439128
0,0.0026026145
0,0.0045434497
0,0.0010835263
0,0.0044364305
0,0.00071697845
0,0.00092568254
0,0.00077612733
0,0.002483992
0,0.0023875716
0,0.0028296248
0,0.0010394605
0,0.00468148
0,0.0023161783
0,0.0007999978
0,0.0031721462
0,0.0005283731
0,0.0020175665
0,0.0019001485
0,0.8096062
0,0.0019464745
0,0.0020868955
0,0.0021057334
0,0.009054144
0,0.0029965874
0,0.0026418285
0,0.007798104
0,0.0062462003
0,0.0019486294
0,0.0017573409
0,0.002956564
0,0.0022033532
0,0.00067221024
0,0.0008320881
0,0.000925593
0,0.0014844071
0,0.0013002086
0,0.0061078495
0,0.0020385133
0,0.00062448904
0,0.006529613
0,0.0026168795
0,0.000990273
0,0.0007361363
0,0.0012250423
0,0.0017772737
